iter	MAE
125	28.99862911
126	28.96133415
127	28.84662904
128	28.78713723
129	28.71820947
130	28.67732576
131	28.60003654
132	28.4883214
133	28.39823816
134	28.29135921
135	28.20574503
136	28.12475279
137	28.01301371
138	27.94446114
139	27.87393426
140	27.81290309
141	27.72426102
142	27.68729164
143	27.54844417
144	27.43537966
145	27.37465427
146	27.30889106
147	27.23126696
148	27.1664989
149	27.09411893
150	27.04192454
151	26.93452796
152	26.82918344
153	26.75568759
154	26.72073564
155	26.61554058
156	26.51840785
157	26.45818026
158	26.40050889
159	26.37114952
160	26.33036985
161	26.29747276
162	26.22874214
163	26.16498733
164	26.07134351
165	26.04896039
166	26.01770638
167	25.96850641
168	25.89160299
169	25.73365876
170	25.66893113
171	25.56973788
172	25.4959399
173	25.36076867
174	25.2686766
175	25.18972325
176	25.12721083
177	25.0701704
178	24.92845241
179	24.87792822
180	24.81320732
181	24.72764923
182	24.66184534
183	24.49687921
184	24.42871811
185	24.35117291
186	24.28453143
187	24.21748927
188	24.11723922
189	24.0609405
190	24.00379609
191	23.93002233
192	23.79735754
193	23.75320471
194	23.67248225
195	23.59790958
196	23.52519665
197	23.45570763
198	23.38446517
199	23.33662883
200	23.27762065
201	23.21360829
202	23.13632415
203	23.11162193
204	23.06124353
205	22.9757763
206	22.88245867
207	22.79834304
208	22.74492961
209	22.70337731
210	22.62306568
211	22.54776852
212	22.46621669
213	22.43336406
214	22.3683905
215	22.32857961
216	22.24418106
217	22.19491493
218	22.13211276
219	22.06245037
220	22.00103047
221	21.94206657
222	21.90533503
223	21.84138619
224	21.78982087
225	21.73551931
226	21.70537641
227	21.67286487
228	21.61657383
229	21.54102223
230	21.49507629
231	21.41446416
232	21.35327659
233	21.29408192
234	21.21733225
235	21.19866048
236	21.12988667
237	21.05447284
238	21.03537557
239	21.00725996
240	20.96277128
241	20.88788167
242	20.8366223
243	20.81397672
244	20.76792435
245	20.73196904
246	20.70117221
247	20.65863044
248	20.59058287
249	20.54408412
250	20.49810595
251	20.42777489
252	20.35494859
253	20.3195556
254	20.282943
255	20.22362807
256	20.1888124
257	20.14880453
258	20.10813946
259	20.06233261
260	19.95791028
261	19.91840923
262	19.85575689
263	19.79477311
264	19.73975743
265	19.70788264
266	19.66090866
267	19.61365149
268	19.57811316
269	19.53584372
270	19.51134299
271	19.48469159
272	19.41769081
273	19.38380157
274	19.36683392
275	19.31785421
276	19.28926585
277	19.22635058
278	19.21258778
279	19.15887374
280	19.15119174
281	19.09878262
282	19.07150244
283	19.04938173
284	19.03558812
285	18.99413511
286	18.96304303
287	18.92690479
288	18.91305503
289	18.87116596
290	18.84284112
291	18.81852322
292	18.78295233
293	18.7302195
294	18.69787791
295	18.64430022
296	18.59001307
297	18.55189801
298	18.48148963
299	18.45216468
300	18.41347789
301	18.38057039
302	18.36107973
303	18.35060737
304	18.31124523
305	18.23779189
306	18.19978729
307	18.15717114
308	18.12923389
309	18.10302651
310	18.08670384
311	18.06514225
312	18.03604488
313	18.012948
314	17.95516915
315	17.92062681
316	17.88435966
317	17.8565165
318	17.83083229
319	17.8026706
320	17.78990707
321	17.75716264
322	17.74181153
323	17.71424954
324	17.6904115
325	17.64167395
326	17.60692003
327	17.58416866
328	17.55665547
329	17.54052074
330	17.51573685
331	17.48733564
332	17.46945075
333	17.44346498
334	17.43056205
335	17.40700438
336	17.35085744
337	17.31926179
338	17.29826251
339	17.26367118
340	17.23980983
341	17.19683189
342	17.14742947
343	17.10103455
344	17.01486817
345	16.97672166
346	16.94385702
347	16.91511325
348	16.89139754
349	16.85280117
350	16.8280594
351	16.79251853
352	16.75244706
353	16.72643098
354	16.70322849
355	16.67409668
356	16.64779166
357	16.60022344
358	16.57874137
359	16.55220411
360	16.53483045
361	16.49206454
362	16.44694616
363	16.42363644
364	16.41263056
365	16.3702685
366	16.34837776
367	16.31246297
368	16.30111081
369	16.25628361
370	16.23612614
371	16.20836307
372	16.17980304
373	16.16323215
374	16.13974343
375	16.11112537
376	16.0784887
377	16.05582004
378	16.022067
379	15.99160953
380	15.97422818
381	15.94893424
382	15.89669048
383	15.87364495
384	15.82455457
385	15.81129494
386	15.79669949
387	15.77895671
388	15.73556629
389	15.70609884
390	15.68738348
391	15.64985975
392	15.59408279
393	15.57683346
394	15.55587863
395	15.54469022
396	15.51901779
397	15.4822047
398	15.4576517
399	15.44255716
400	15.43886763
401	15.40536587
402	15.36482167
403	15.33050537
404	15.29473438
405	15.26317073
406	15.253786
407	15.22338737
408	15.19228268
409	15.14527708
410	15.12329989
411	15.10929392
412	15.0552144
413	15.0441312
414	15.0253114
415	15.00756712
416	14.98678943
417	14.96501349
418	14.94613518
419	14.93607543
420	14.90490002
421	14.89138183
422	14.88229782
423	14.86228411
424	14.82521517
425	14.82120815
426	14.79526128
427	14.77849906
428	14.74124898
429	14.7155933
430	14.70602747
431	14.69723703
432	14.68194723
433	14.67467053
434	14.66934732
435	14.66239649
436	14.64810663
437	14.60913297
438	14.58508933
439	14.5437715
440	14.53159696
441	14.51590349
442	14.49362756
443	14.47344434
444	14.4655752
445	14.45793723
446	14.44699293
447	14.41504158
448	14.41070744
449	14.38980257
450	14.35765719
451	14.31911309
452	14.29904801
453	14.28033251
454	14.25050634
455	14.23828635
456	14.22539166
457	14.19260643
458	14.17553753
459	14.16263255
460	14.11369609
461	14.10390468
462	14.09114571
463	14.06956703
464	14.04984706
465	14.02205622
466	13.98842512
467	13.97871756
468	13.95425569
469	13.9354346
470	13.9192732
471	13.89357128
472	13.86328177
473	13.83054995
474	13.82115294
475	13.81627861
476	13.80663718
477	13.79059579
478	13.78265185
479	13.75414929
480	13.72647901
481	13.7070642
482	13.68214656
483	13.66214032
484	13.64280165
485	13.6311995
486	13.62259707
487	13.5998247
488	13.5808983
489	13.55872499
490	13.52342998
491	13.50898642
492	13.47135263
493	13.44284479
494	13.42484641
495	13.41563422
496	13.39250486
497	13.36486926
498	13.3360775
499	13.31530657
