iter	MAE
0	44.83012291
1	44.58522896
2	44.28671065
3	44.08382013
4	43.84252817
5	43.6776181
6	43.50437074
7	43.31435703
8	43.12879785
9	42.94467747
10	42.6616473
11	42.5672152
12	42.33852129
13	42.01402892
14	41.81230909
15	41.58205517
16	41.41252999
17	41.18602541
18	41.02808441
19	40.83168275
20	40.69257722
21	40.57901798
22	40.37380029
23	40.19405755
24	40.08901313
25	39.94414824
26	39.8281689
27	39.63575555
28	39.46425623
29	39.31774065
30	39.22297089
31	39.0970161
32	39.00589566
33	38.83462121
34	38.73084752
35	38.62830812
36	38.52870738
37	38.3235992
38	38.12176021
39	37.99706532
40	37.86013988
41	37.69270763
42	37.50188436
43	37.37128589
44	37.26559696
45	37.18025909
46	37.09897014
47	36.95644649
48	36.86170679
49	36.78890757
50	36.6731574
51	36.56725239
52	36.45563721
53	36.33224028
54	36.17837403
55	36.06991602
56	35.9532949
57	35.80011693
58	35.74102634
59	35.55854638
60	35.45730206
61	35.30756459
62	35.19796325
63	35.120168
64	34.96291268
65	34.86155627
66	34.77213971
67	34.64360609
68	34.52484851
69	34.41350268
70	34.28956832
71	34.20187658
72	34.05647231
73	33.9573237
74	33.84481334
75	33.78101985
76	33.69859038
77	33.63613289
78	33.53000548
79	33.44191186
80	33.24174578
81	33.15084662
82	32.97798567
83	32.87302773
84	32.77753782
85	32.66044588
86	32.54327587
87	32.40101939
88	32.27533374
89	32.21897906
90	32.15023313
91	32.04811956
92	31.95340566
93	31.82189706
94	31.72651086
95	31.63725995
96	31.56386003
97	31.44188161
98	31.38667603
99	31.31247358
100	31.19037084
101	31.09997645
102	30.95164194
103	30.85766545
104	30.79041762
105	30.71711656
106	30.58518786
107	30.47352684
108	30.3916608
109	30.2950979
110	30.20562845
111	30.13904965
112	30.03763543
113	29.98126766
114	29.90909976
115	29.80104027
116	29.74207069
117	29.68076633
118	29.6082593
119	29.53410414
120	29.44086088
121	29.36307536
122	29.25478908
123	29.20444414
124	29.13087152
