series_name,seasonal_period,baseline_naive_MAE,baseline_naive_RMSE,baseline_naive_SMAPE,baseline_naive_MASE,baseline_snaive_MAE,baseline_snaive_RMSE,baseline_snaive_SMAPE,baseline_snaive_MASE,baseline_theta_MAE,baseline_theta_RMSE,baseline_theta_SMAPE,baseline_theta_MASE,baseline_ets_MAE,baseline_ets_RMSE,baseline_ets_SMAPE,baseline_ets_MASE,catboost_raw_MAE,catboost_raw_RMSE,catboost_raw_SMAPE,catboost_raw_MASE,catboost_log_MAE,catboost_log_RMSE,catboost_log_SMAPE,catboost_log_MASE,catboost_boxcox_MAE,catboost_boxcox_RMSE,catboost_boxcox_SMAPE,catboost_boxcox_MASE,catboost_diff_MAE,catboost_diff_RMSE,catboost_diff_SMAPE,catboost_diff_MASE,feature_cluster,dtw_cluster
D1,1,11.0214285714286,13.831614924822503,0.5475780469943548,2.498909973983192,11.0214285714286,13.831614924822503,0.5475780469943548,2.498909973983192,8.028420553455296,9.994494638839202,0.4290210497183273,1.9595293097316593,6.695272981480473,8.161835287943095,0.3999661297926267,1.8271794572672466,38.555354443747156,40.855307013057796,1.9319309608927353,8.74173063369484,19.136394034265695,20.998476510800725,0.9534921889784082,4.338831904447078,33.381102374230345,35.49906501042029,1.6701208682703115,7.568562380539546,7.093831617943416,8.879695699790384,0.35232261098530604,1.6083982642495471,2,0
D2,1,65.45000000000007,70.46692739961681,2.155150613453274,4.485418798926728,65.45000000000007,70.46692739961681,2.155150613453274,4.485418798926728,68.94547654542761,74.21979179780067,2.268732101235669,4.724970765436554,65.19616130864804,70.23122387176599,2.1468961982173225,4.468022728062169,45.60608810530461,52.784299216493835,1.5073418378247727,3.1254760112000257,37.88717008858752,45.45583349443667,1.2542693399625189,2.5964831925666108,,,,,58.26579060480263,64.00490308563303,1.9210547756069212,3.9930706266326927,2,1
D3,1,20.992857142857183,23.838639103055282,1.8268236668926352,3.428256988680172,20.992857142857183,23.838639103055282,1.8268236668926352,3.428256988680172,21.761587066297402,24.678802222782753,1.8929059979435638,3.5537951045501313,21.034354417473132,23.875190659451874,1.8303922615331147,3.4350337375879176,47.906829749023665,50.18291561590764,4.307599345464708,7.82346694282551,44.89147761083135,46.79979796766868,4.029195295006209,7.331042211368373,,,,,0.027137090938903645,0.04470066741443358,0.002385775190777375,0.004431646489596593,0,1
D4,1,210.0,238.41140912296962,14.255100924166456,4.803921568627451,210.0,238.41140912296962,14.255100924166456,4.803921568627451,157.39582757276918,189.8599906733528,10.978064146378177,3.6102312807951953,160.1949604688563,193.00590688619533,11.130048200381323,3.664590598960765,297.8304463773598,313.2310076697091,23.588960740868806,6.813114786410192,362.58293166495565,365.0305683630533,29.91136273515705,8.294380789721208,293.01398384533223,308.7111203501007,23.17433437291716,6.702934270971652,128.3239907657731,205.49537388304012,8.890190702330868,2.9355161286287963,0,1
D5,1,98.49857142857107,109.3293215146654,1.7088197203791018,2.0404314331678344,98.49857142857107,109.3293215146654,1.7088197203791018,2.0404314331678344,14.905327562112234,16.98256332961071,0.9017494293288707,1.0826436708666585,98.49879045550168,109.32951884365261,1.7088235602407815,2.040435970385252,99.88543738235674,110.58043484474308,1.7331364348477478,2.0691608334490015,99.35249752051166,110.09927671402313,1.7237914016612905,2.0581208028137814,99.81668180016257,110.51833302661902,1.7319307657488396,2.067736538161465,89.7869406636157,103.52417939998901,1.5478541580639535,1.8599670366881624,2,2
D6,1,123.39847142857131,150.63407746374742,3.883378281885249,8.186651846424791,123.39847142857131,150.63407746374742,3.883378281885249,8.186651846424791,117.17002508921814,146.76485490864522,3.7223123979440076,7.856041727148966,102.24944083889704,132.98414308990652,3.1923296028654486,6.7624117239417885,151.74740272882667,168.05768712808802,4.823923245498387,10.067411211485037,163.41551299048527,180.02059552938314,5.197702647285906,10.841511208932642,155.37236857645317,171.2135603385082,4.947799555168443,10.307903115526786,138.9403160239344,163.81132280856292,4.388349582623395,9.217747850131174,2,2
D7,1,660.902142857143,878.0221304094302,15.243286426137084,2.53822535795231,660.902142857143,878.0221304094302,15.243286426137084,2.53822535795231,773.1274456199616,976.3005602525778,18.146166920849645,2.980204048374271,773.5758087946098,978.6661735044079,18.08329336594003,2.9708738328016553,552.3849387085221,695.2120892081508,12.489789198685541,2.1214599981770204,553.177899691871,675.5707112211387,12.645240065484648,2.124505401641899,608.9014411271871,742.4931079765901,13.96761591812031,2.3385142491462694,569.8372185113288,659.6812163356166,13.029262287138701,2.1884862888742473,2,2
D8,1,28.70428571428579,30.462673177888732,1.6737165541649426,3.748872437921287,28.70428571428579,30.462673177888732,1.6737165541649426,3.748872437921287,26.350127577326038,27.94416542846516,1.5352722237996266,3.441411780582435,22.706337264717945,24.022641951927806,1.3241970062052553,2.971566241118042,44.65882581627678,45.513151241873764,2.61723173643393,5.83258691329304,45.18150623454177,46.01575122183939,2.64829596558301,5.900850664336307,43.61882238912036,44.52745462687098,2.555463087206106,5.696759106176768,22.342700341993236,23.496037664185085,1.3002605724306626,2.9180288384304447,2,2
D9,1,24.921428571428628,26.40386416525327,1.5863035073073704,3.419983754664763,24.921428571428628,26.40386416525327,1.5863035073073704,3.419983754664763,23.157007835995664,24.5244976457478,1.4730736191562046,3.177851156435925,20.016969728546478,21.174367457631416,1.2732225593615405,2.749602670523669,37.878041075390456,38.80146579279402,2.421838155015255,5.198028065087519,38.5212066801423,39.39105289625521,2.4635018264856265,5.286290096836863,38.22936149209438,39.052754215909225,2.4446030886527215,5.246239993001915,20.57528784754038,21.631128299032895,1.3077562209443294,2.8235600533274567,2,2
D10,1,47.407142857142844,59.84908997995348,1.8389211163356183,2.4200058206960033,47.407142857142844,59.84908997995348,1.8389211163356183,2.4200058206960033,45.06391337389979,57.17803953591847,1.7730683126872173,2.3345414276310366,47.40563596931036,59.847481868725595,1.8388618105194685,2.4199288981669085,80.91754760314484,89.91167294936193,3.167575589088355,4.130620923225541,81.49703598085378,90.56648324193733,3.1907008919833,4.16020223023042,89.17013306316615,98.90231429979642,3.497449509706943,4.551892985733599,51.893375529908226,60.68596005006029,2.016492852717841,2.649015807942114,2,1
